ARRAY SIZE;Num SERVERS;CUTOFF;Thread CLOCK;SEQ CLOCK;;;;;;;;;server AVG;seq AVG;
1000000;20;1950;68614193;150724587;69902535;149811155;66553087;150145618;57500881;148967756;90530503;150833257;70620239,8;150096474,6;2,125403072
1000000;20;2000;61498123;149217697;75391574;150605654;66333332;147239301;71875498;148350149;69911591;149781574;69002023,6;149038875;2,159920351
1000000;20;2050;67930780;151849321;68182532;152648045;69138223;149259958;58252515;150978753;68257393;151769629;66352288,6;151301141,2;2,280270122
1000000;20;2100;75345087;150418500;67913272;150469817;65640259;149221319;67787698;148157562;69016875;150806089;69140638,2;149814657,4;2,16681045
1000000;20;2150;67458066;149125931;69285532;147539350;60548469;149431415;58072002;151651300;65267763;151399548;64126366,4;149829508,8;2,336472768
1000000;20;2200;67673594;149221924;79564500;148386373;66924376;150791600;65066724;149024507;67011916;150502418;69248222;149585364,4;2,160132926
1000000;20;2250;95200894;149326971;67113341;145967259;59584326;149250299;67557076;152343165;69895291;150536226;71870185,6;149484784;2,079927619
1000000;20;2300;61850094;147942637;67383808;152076924;174484059;154146483;122186053;149017865;63954064;147358234;97971615,6;150108428,6;1,53216243
1000000;20;2350;61830170;147482601;68008056;148620616;66758351;153262634;67182769;151477428;70372834;148491420;66830436;149866939,8;2,242495318
1000000;20;2400;100531155;152664345;72164681;148141865;66811479;152122807;67163449;154212892;100996624;152162048;81533477,6;151860791,4;1,862557515
1000000;20;2450;60927607;149075823;68257394;148230008;68345537;148126771;62171878;148242686;62162218;151531763;64372926,8;149041410,2;2,315280936
1000000;20;2500;69067588;150416689;72651884;146459293;69018082;149080653;68954088;149028129;101479602;146336133;76234248,8;148264179,4;1,944850008
1000000;20;2550;63239861;148138846;64684567;150994450;66975692;150637651;67423050;151549874;68222377;150780129;66109109,4;150420190;2,275332271
1000000;20;2600;68258601;146464122;66751108;151057237;67110321;148118923;62115731;151016185;74262011;146124227;67699554,4;148556138,8;2,194344411
1000000;20;2650;71822370;150358128;65088457;150566411;69431028;150574260;58137204;151394718;70210433;151301745;66937898,4;150839052,4;2,25341781
1000000;20;2700;62561882;152030437;67077721;148499268;66530749;151763592;61425073;149546726;70338423;148345319;65586769,6;150037068,4;2,287611805
1000000;20;2750;60663780;148510739;72928993;148670726;60812295;151293897;69871745;152096847;72512424;149454356;67357847,4;150005313;2,226990897
1000000;20;2800;68245318;149064352;67398901;146405561;67236499;151426112;66598970;149050466;68639549;149791837;67623847,4;149147665,6;2,205548358
1000000;20;2850;68432473;148878406;93292529;148358601;57735729;150800656;66893585;147341329;67579414;147823704;70786746;148640539,2;2,09983574
1000000;20;2900;67645822;150984791;63815812;148848823;82661592;150876724;67258837;149593212;102952079;146496119;76866828,4;149359933,8;1,943099994
1000000;20;2950;64468435;149158533;66685905;147060599;59808306;150224705;63177074;152427686;67023990;147820081;64232742;149338320,8;2,324956341
1000000;20;3000;67049949;148271061;189037377;148537906;109465030;147311747;89211370;154985655;76699236;146343378;106292592,4;149089949,4;1,402637249
1000000;20;3050;67999604;147214549;62572749;152337128;66848306;149709730;58798884;147390231;107307932;147692696;72705495;148868866,8;2,047560048
